Amazonia−Guapore	Indiavai gabbro	9367	−15.4	301.4	57.0	69.7	8.9	1	1	1	0	0	0	0	3	1416	1409	1423	D’Agrella-Filho et al.	2012	Q4, Q5
Amazonia−Guyana	Surumu volcanics	9486	3.4	299.7	−27.4	54.8	8.1	1	1	1	c	1	0	1	6	1970	1960	1980	Bispo-Santos et al.	2014b	Field test doesn’t guarantee primary
Amazonia−Guyana	Mean pole—PESA ROCO MATI ORGA	9415	5.2	307.6	58.5	210.2	5.8	1	1	1	0	0	1	0	4	1979	1972	1986	Théveniaut et al.	2006	Q4, Q5
Amazonia−Guyana	French Guiana Granite and Amphibolite−GUI2	8975	2.6	307.4	5.0	230.0	18.0	1	0	1	0	0	1	1	4	1993	1968	2017	Nomade et al.	2003	Q2, Q4, Q5
Amazonia−Guyana	Oyapok Tonalite and Meta-Ultrabasite−OYA	8692	3.1	307.7	28.0	166.0	13.8	1	1	1	0	0	0	0	3	2013	1973	2052	Nomade et al.	2001	Q4, Q5
Amazonia−Guyana	French Guiana Granite and Metasediments—GUI1	8974	3.7	306.8	62.0	241.0	10.0	1	0	1	0	0	1	0	3	2014	1987	2041	Nomade et al.	2003	Q2, Q4, Q5
Amazonia−Guyana	Armontabo River Tonalite—ARMO	9415	3.7	307.8	2.7	166.3	15.5	1	0	1	c	0	1	0	4	2080	2076	2084	Théveniaut et al.	2006	Q2, Q5
Amazonia−Guyana	Mean pole—TUMU TAMP03 MATA02 APPR02 APPR05 APPR06 APPR08	9414	3.6	307.1	−1.8	112.5	11.9	1	0	1	0	0	1	1	4	2093	2085	2101	Théveniaut et al.	2006	Q2, Q4, Q5
Amazonia−Guyana	Mean pole—TAMP01 TAMP02 TAMP04 APPR01 APPR07	9413	3.6	306.7	−35.2	34.2	9.4	1	0	1	0	0	1	1	4	2147	2142	2152	Théveniaut et al.	2006	Q2, Q4, Q5
Australia−N	Cap Dolomite, Walsh Tillite	8562	−17.4	125.9	−21.5	282.4	13.7	1	1	1	f	1	1	1	7	648	635	660	Li (age estimated by correlation to either Sturtian or Marinoan cap)	2000a	Lingering uncertainty about age correlations
Australia−N	Johnny’s Creek siltstones—B comp.	9569	−24.0	133.5	15.8	83.0	13.5	1	1	1	f	1	0	1	6	760	730	790	Swanson-Hysell et al. (age estimated only)	2012	Age constraints somewhat lax
Australia−N	Alcurra dykes+sills	9301	−25.9	133.1	2.8	80.4	8.8	1	1	1	f	0	0	1	5	1077	1064	1089	Schmidt et al.	2006	Q5
Australia−N	Mt. Isa Dolerite Dykes (IAR)—combined result	7549	−20.8	139.7	−9.5	131.1	17.4	1	0	1	0	1	0	1	4	1140	1139	1141	Tanaka and Idnurm (age by Claoue-Long, quoted in Wingate and Evans, 2003; includes data from Duff and Embleton, 1976)	1994	Q2, Q4
Australia−N	Mt. Isa Metamorphosed Dykes (IM)	7550	−20.6	139.7	−79.0	110.6	8.4	1	1	1	0	0	1	0	4	1525	1500	1550	Tanaka and Idnurm	1994	Q4, Q5
Australia−N	Balbirini Dolomite, upper part	8724	−16.8	135.7	−52.0	176.1	7.5	1	1	1	0	1	1	1	6	1589	1586	1592	Idnurm(age: Page et al., 2000)	2000	Q4
Australia−N	Balbirini Dolomite, lower part	8723	−16.8	135.7	−66.1	177.5	5.7	1	1	1	0	1	1	1	6	1612	1606	1617	Idnurm(age: Page et al., 2000)	2000	Q4
Australia−N	Emmerugga Dolomite—high temp. comp.	7619	−16.9	135.8	−79.1	202.6	6.1	1	1	1	f	1	0	0	5	1644	1635	1653	Idnurm et al. (age: Page et al., 2000)	1995	Similarity to Cenozoic poles / possible remagnetization
Australia−N	Fiery Creek Formation—B comp.	8734	−19.7	139.2	−23.9	211.8	10.4	1	1	1	0	1	0	0	4	1709	1706	1712	Idnurm	2000	Q4
Australia−N	Wollogorang Formation—high temp. comp.	7605	−17.1	135.9	−17.9	218.2	7.2	1	0	1	f	1	1	0	5	1727	1723	1730	Idnurm et al. (age: Page et al., 2000)	1995	Q2
Australia−N	Elgee−Pentecost—combined result	9322	−15.7	128.3	−5.4	211.8	3.2	1	1	1	f	1	0	0	5	1762	1734	1790	Williams and Schmidt, 1997 (min. age: Wingate et al., 2011; includes data from Li, 2000b)	2008	Age constraints somewhat lax
Australia−S	Wonoka Formation	9349	−31.5	138.6	5.2	210.5	4.9	1	0	1	f	1	1	1	6	570	550	590	Schmidt and Williams (age estimated only)	2010	Q2
Australia−S	Brachina Formation	1168	−30.5	139.0	−33.0	328.0	15.5	0	0	1	f	1	0	1	4	603	570	635	McWilliams and McElhinny (age estimated only)	1980	Q1, Q2
Australia−S	Brachina Formation	9348	−32.2	138.0	−46.0	315.4	3.3	1	1	1	f	1	1	1	7	611	590	632	Schmidt and Williams (age estimated only)	2010	Age constraints somewhat lax
Australia−S	Yaltipena Formation—C comp.	8514	−31.3	138.7	−44.2	352.7	8.2	1	1	1	f	1	1	1	7	645	635	655	Sohl et al. (age estimated only)	1999	Field test doesn’t guarantee primary
Australia−S	Angepena Formation	9523	−31.0	138.0	47.1	176.6	5.3	1	1	1	f	1	1	1	7	650	640	660	Schmidt and Williams (age estimated only)	2015	Field test doesn’t guarantee primary
Australia−S	Blue Range beds and Pandurra Formation	9399	−33.1	136.0	−38.4	62.4	3.5	0	1	1	f	1	1	0	5	1440	1300	1580	Schmidt and Williams (age estimated only)	2011	Q1
Australia−S	Gawler Range Volcanics	1962	−31.3	135.3	−60.4	50.0	6.2	0	1	1	0	1	0	0	3	1545	1500	1590	Chamalaun and Dempsey	1978	Q1, Q4
Australia−W	Lancer borehole, Browne Formation	9314	−25.0	123.8	44.5	141.7	6.8	0	1	1	0	1	0	1	4	855	810	900	Pisarevsky et al. (age estimated only)	2007	Q1, Q4
Australia−W	HP2 overprint, Southern Pilbara	NEW	−23.0	118.0	−35.3	211.9	3.0	0	1	1	0	1	1	1	5	1750	1700	1800	Li et al. (age estimated only)	2000	Q1, Q4
Australia−W−Pilbara	Pilbara Flood Basalts, Packages 8–10	9178	−22.0	119.7	−59.1	186.3	6.1	1	1	1	0	1	0	1	5	2716	2710	2721	Strik et al. (age: Blake et al., 2004)	2003	Q4
Australia−W−Pilbara	Pilbara Flood Basalts, Packages 4–7	9177	−22.0	119.7	−50.4	138.2	12.5	1	1	1	0	1	0	0	4	2730	2720	2740	Strik et al. (age: Blake et al., 2004)	2003	Q4
Australia−W−Pilbara	Mount Jope Volcanics, prefolding	309	−22.8	117.3	−40.5	128.7	20.3	1	0	1	f	1	0	1	5	2745	2715	2774	Schmidt and Embleton	1985	Q2
Australia−W−Pilbara	Pilbara Flood Basalts, Package 2	9176	−22.0	119.7	−46.5	152.7	15.2	1	0	1	0	1	0	0	3	2766	2764	2768	Strik et al. (age: Blake et al., 2004)	2003	Q2, Q4
Australia−W−Yilgarn	Frere Formation—A comp.	9136	−26.3	121.9	45.2	40.0	1.8	1	1	1	0	1	1	0	5	1890	1880	1900	Williams et al. (age: Rasmussen et al., 2012)	2004	Q4 (fold test claimed to be positive, but reanalysis suggests otherwise)
Australia−W−Yilgarn	Erayinia mafic dykes	9540	−31.2	122.5	22.7	330.5	11.4	1	1	1	0	1	0	0	4	2401	2398	2404	Pisarevsky et al.	2015	Q4
Baltica	Zigan formation clastic rocks	9535	53.7	56.7	−16.2	138.4	4.1	1	1	1	0	1	1	0	5	548	544	551	Levashova et al.	2013	Q4
Baltica	MEAN Vendian White Sea sediments (3 studies, weighted by specimens)	MEAN	65.5	40.0	−31.3	113.0	9.9	1	1	1	0	1	1	1	6	556	555	556	LULEÅ WORKING GROUP (Popov et al., 2002, Popov et al., 2005, Iglesia-Llanos et al., 2005)	2009	Q4
Baltica	Chernokamenskay group sediments	9918	58.5	58.4	−17.3	126.7	6.0	1	1	1	0	1	1	1	6	557	544	570	Fedorova et al.	2014	Q4
Baltica	Basu Formation (“precise” sites)	9538	53.9	56.9	1.7	186.1	3.8	1	1	1	Ff	1	1	0	6	560	550	570	Levashova et al. (age estimated only)	2015	Age constraints somewhat lax
Baltica	Basu−Kukkarauk formation	9919	54.0	57.0	1.1	187.3	5.8	1	1	1	0	1	1	0	5	562	557	567	Golovanova et al. (age estimated only)	2011	Q4
Baltica	Volhyn lavas (A1, A2, A3, A3*, A4)	NEW	51.2	26.0	−19.8	184.4	28.3	1	0	1	0	1	1	0	4	571	561	580	Elming et al.	2007	Q2,Q4
Baltica	Katav Formation, mean of 3 sections	apx. 9649	54.8	57.4	35.7	169.9	11.4	0	1	1	f	1	1	0	5	800	700	900	Pavlov and Gallet (age estimated only)	2010	Q1
Baltica	Hunnedalen Dykes	8299	58.9	7.0	−41.0	222.0	10.5	1	1	1	0	1	1	1	6	848	821	875	Walderhaug et al.	1999	Q4
Baltica	Rogaland Igneous cx, unit-weighted mean of all sites	MEAN	58.3	6.9	−43.2	207.9	10.1	1	1	1	c	0	0	1	5	903	870	935	LULEÅ WORKING GROUP (Brown & McEnroe, 2004; Walderhaug et al., 2007)	2009	Q5; also age constraints somewhat lax
Baltica	Bratton and Algon igneous rocks	909	57.9	11.7	5.0	249.0	3.9	1	1	1	0	0	0	1	4	916	905	927	Stearn and Piper (age: Scherstén et al., 2000)	1984	Q4, Q5
Baltica	Bjerkreim−Sokndal layered intrusion	9570	58.5	6.1	−35.9	217.9	6.3	1	1	1	0	1	0	1	5	921	904	938	Brown and McEnroe	2015	Q4
Baltica	Blekinge dolerites (52,53,54b,55)	NEW	56.1	15.0	13.0	247.0	16.0	1	0	1	0	1	1	1	5	950	946	954	LULEÅ WORKING GROUP (Bylund 1992) (age: Söderlund et al., 2004, Söderlund et al., 2005)	2009	Q2, Q4
Baltica	Laanila−Ristijarvi Dykes	8275	68.7	28.1	−2.1	212.2	13.8	0	0	1	C	1	0	0	3	1044	992	1095	Mertanen et al.	1996	Q1, Q2
Baltica	Salla Dyke	9382	66.8	28.8	71.0	113.0	8.0	1	1	1	C	1	0	0	5	1122	1119	1127	Salminen et al.	2009b	Similarity to Cenozoic poles / possible remagnetization
Baltica	Mashak Formation	NEW	54.0	57.0	1.8	193.0	14.8	1	0	1	C	1	1	0	5	1376	1366	1385	Lubnina	2009	Q2
Baltica	MEAN Tuna/Bunkris/Glysjön/Oje unit-weighted by study	MEAN	61.5	13.5	28.3	179.8	13.2	1	0	1	0	1	0	1	4	1469	1460	1478	LULEÅ WORKING GROUP (Mulder, 1971, Bylund, 1985, Piper, 1992a, Piper and Smith, 1980) (age: Söderlund et al., 2005)	2009	Q2, Q4
Baltica	Ragunda Formation	1320	63.3	16.1	51.6	166.6	7.1	1	1	1	0	0	1	0	4	1506	1493	1519	Piper (age: Persson, 1999)	1979	Q4, Q5
Baltica	Hoting basic dykes	NEW	64.2	16.2	21.9	146.7	13.7	1	0	1	C	1	0	0	4	1614	1590	1638	Elming et al.	2009	Q2; also age constraints somewhat lax
Baltica	Quartz porphyry dykes	407	61.3	26.8	30.2	175.4	9.4	1	0	1	0	1	0	0	3	1631	1621	1641	Neuvonen (age: Vaasjoki et al., 1991)	1986	Q2, Q4
Baltica	Sipoo Quartz Porphyry Dykes—An comp.	7765	60.3	25.3	26.4	180.4	9.4	1	1	1	0	1	0	0	4	1633	1623	1643	Mertanen and Pesonen	1995	Q4
Baltica	Häme dyke swarm	9860	61.4	25.1	23.6	209.8	14.7	1	0	1	C	1	1	0	5	1647	1633	1661	Salminen et al.	2017	Q2
Baltica−Fennoscandia	MEAN Ropruchey sill, 4 sites	MEAN	61.4	35.3	39.1	217.0	8.6	1	1	1	0	1	0	1	5	1751	1748	1754	LULEÅ WORKING GROUP (Damm et al., 1997, Fedotova et al., 1999) (age: Lubnina et al., 2012)	2009	Q4
Baltica−Fennoscandia	Shoksha Sandstones	8681	61.3	33.8	39.7	221.1	4.0	1	1	1	G	1	1	1	7	1775	1750	1800	Pisarevsky and Sokolov (age estimated only)	2001	Age constraints somewhat lax
Baltica−Fennoscandia	Kallax gabbro	NEW	65.5	22.0	49.0	209.0	3.9	1	1	1	0	1	0	1	5	1800	1794	1805	Elming	1994	Q4
Baltica−Fennoscandia	Lake Ladoga, Mean intr. & dykes, A comp.	NEW	61.3	30.0	50.9	229.1	7.2	1	1	1	0	1	1	1	6	1800	1744	1819	Mertanen et al.	Mertanen et al., 2006a, Mertanen et al., 2006b	Q4; also age constraints somewhat lax
Baltica−Fennoscandia	Notträsk gabbro	1331	65.8	21.8	43.5	216.2	6.1	1	1	1	0	1	0	1	5	1806	1800	1812	Elming (age: Sadeghi and Hellström, 2017)	1985	Q4
Baltica−Fennoscandia	Keuruu dykes	9687	62.3	24.7	45.7	230.9	5.5	1	1	1	C	1	1	1	7	1869	1859	1879	Klein et al.	2016	Unresolved issue of reversal asymmetry/unremoved secondary component
Baltica−Fennoscandia	Tsuomasavarri Gabbro−Diorite Intrusion—A’ comp.	7528	69.9	28.3	40.2	247.3	6.0	1	1	1	0	0	0	1	4	1931	1929	1933	Mertanen and Pesonen	1994	Q4, Q5
Baltica−Fennoscandia	Konchozero Sill—I comp.	8296	62.1	34.0	−14.2	281.9	10.4	1	0	1	C	1	0	1	5	1974	1947	2001	Pisarevsky and Sokolov	1999	Q2
Baltica−Fennoscandia	Kuetsyarvi Formation—A comp.	7649	69.5	29.5	24.7	300.8	16.4	1	0	1	g	1	0	1	5	2060	2052	2068	Torsvik and Meert (age: Melezhik et al., 2007)	1995	Q2
Baltica−Fennoscandia	Karelian Dykes—D comp.	8464	66.0	30.7	−19.9	278.7	6.1	1	1	1	0	1	0	1	5	2446	2441	2451	Mertanen et al.	1999	Q4
Baltica−Fennoscandia	Imandra Layered Intrusion—D comp.	8951	67.6	33.1	−16.1	280.3	7.8	1	1	1	0	1	1	1	6	2446	2407	2485	Arestova et al.	2002	Q4
Baltica−Fennoscandia	Avdeev gabbronorite and thin Shalskiy diabase dyke—D comp.	9331	61.9	36.1	−12.3	243.5	14.0	1	1	1	c	1	0	0	5	2476	2441	2510	Mertanen et al.	Mertanen et al., 2006a, Mertanen et al., 2006b	Field test doesn’t guarantee primary
Baltica−Fennoscandia	Monchegorsk Intrusion	9225	68.0	33.0	1.3	265.3	9.9	1	1	1	0	0	1	0	4	2504	2502	2506	Pechersky et al.	2004	Q4, Q5
Baltica−Fennoscandia	Generalskaya Layered Intrusion—D comp.	8947	69.4	31.0	−42.5	292.7	10.4	1	1	1	0	1	1	0	5	2505	2503	2507	Arestova et al.	2002	Q4
Baltica−Fennoscandia	Shalskiy thick gabbronorite dyke—D’ comp.	9332	61.9	36.1	22.7	222.1	11.5	1	0	1	c	1	0	1	5	2511	2509	2512	Mertanen et al. (age: Bleeker et al., 2008 abst)	Mertanen et al., 2006a, Mertanen et al., 2006b	Q2
Baltica−Fennoscandia−Karelia	Koitere sanukitoids	9427	63.3	30.6	−67.5	192.5	19.5	1	1	1	0	0	0	1	4	2684	2682	2686	Mertanen and Korhonen	2011	Q4, Q5
Baltica−Sarmatia	Volyn-Dniestr-Bug intrusions—Group E	9422	50.0	29.6	10.7	163.2	10.2	1	1	1	0	1	0	1	5	1722	1710	1734	Elming et al.	2010	Q4
Baltica−Sarmatia	Volyn-Dniestr-Bug intrusions—Group B	9420	50.9	27.4	64.4	140.4	12.7	1	0	1	0	1	0	1	4	2000	1990	2010	Elming et al.	2010	Q2, Q4
Baltica−Sarmatia	Volyn-Dniestr-Bug intrusions—Group A	9419	49.6	29.8	15.7	182.9	13.7	1	1	1	C	1	0	0	5	2061	2041	2081	Elming et al.	2010	Complex magnetizations in study area; confirmation needed
Coats Land	Coats Land Nunataks	8235	−77.9	325.5	22.9	80.3	6.8	1	1	1	0	0	0	1	4	1112	1108	1116	Gose et al.	1997	Q4, Q5
Congo	Nola Metadolerite Dykes	9276	3.4	15.6	−61.8	304.8	7.6	1	1	1	0	0	1	1	5	571	565	577	Moloto-A-Kenguemba et al.	2008	Q4, Q5
Congo	Mbozi Cmplex	7786	−9.3	32.9	46.0	325.0	6.7	0	1	1	0	0	1	1	4	755	730	780	Meert et al.	1995	Q1, Q4, Q5
Congo	Luakela volcanics—A comp.	9352	−11.6	24.1	40.2	302.0	14.1	1	0	1	0	1	1	0	4	765	758	772	Wingate et al.	2010	Q2, Q4
Congo	Gagwe and Kabuye Lavas	7785	−4.5	30.1	−25.0	273.0	9.2	1	1	1	0	1	0	0	4	795	788	802	Meert et al. (age: Deblond et al., 2001)	1995	Q4; also similarity to expected Pan-African overprint
Congo	Late Kibaran Intr.	8123	−4.0	30.0	−17.0	112.7	7.0	1	1	1	0	0	0	1	4	1236	1212	1260	Meert et al.	Meert et al., 1994a, Meert et al., 1994b, Meert et al., 1994c	Q4, Q5
Congo	Kisii Series lavas combined result	9568	−0.7	34.8	−7.0	166.0	8.0	1	1	1	0	1	1	0	5	2531	2528	2534	Meert et al. (includes data from Brock et al., 1972)	2016	Q4
India	Banganapalli quartzite	9965	16.0	79.0	−73.5	53.6	3.7	0	1	1	0	1	1	1	5	589	543	635	Goutham et al. (age estimated only)	2006	Q1, Q4
India−North	MEAN Bundelkhand NW-SE dykes	MEAN	25.4	79.5	57.5	309.0	4.4	1	1	1	0	1	1	1	6	1979	1976	1982	HARALDVANGEN WORKING GROUP (Pradhan et al., 2012, Radhakrishna et al., 2013)	2014	Q4
India−North	Majhgawan Kimberlite—combined result	9277	24.7	80.1	36.8	212.5	12.2	1	0	1	0	1	0	0	3	1074	1060	1087	Gregory et al. (includes data from Miller and Hargraves, 1994)	2006	Q2, Q4
India−North	Mahoba Dykes	9363	25.2	80.0	38.7	229.5	12.4	1	1	1	0	1	0	0	4	1113	1106	1120	Pradhan et al.	2012	Q4
India−South	Harohalli Alkaline Dykes—An comp.	apx. 9857	12.6	77.4	−29.7	261.0	18.6	1	1	1	0	1	1	1	6	1192	1182	1202	Pradhan et al.	2008	Q4
India−South	Lakhna Dykes	apx. 9408	20.8	82.7	41.3	120.5	20.5	1	1	1	0	1	1	1	6	1466	1463	1469	Pisarevsky et al.	Pisarevsky et al., 2013a, Pisarevsky et al., 2013b	Q4
India−South−Dharwar	Dharwar Dykes 2.18 Ga—combined result	9563	13.7	77.7	67.5	84.5	22.0	1	0	1	C	1	0	1	5	2177	2172	2182	Belica et al. (includes data from Piispa et al., 2011)	2014	Q2
India−South−Singhbhum	Newer Dolerites 2.76 Ga	9904	22.5	86.8	14.0	78.0	11.0	1	1	1	0	1	1	0	5	2762	2760	2764	Kumar et al.	2017	Q4
Kalahari	Port Edward Pluton	9135	−31.0	30.3	−7.4	327.8	4.2	1	1	1	0	0	0	0	3	1004	999	1009	Gose et al.	2004	Q4, Q5
